"","train","1_poor","2","3","4","5","6","7_rich"
"1",50,0.848484848484849,0.7037285998953,0.271444803823997,0.854585413760103,0.273741732103011,0.649320488005584,0.722936507936508
"2",60,0.925925925925926,0.73303712535103,0.24782302808597,0.853852036255208,0.265480270800813,0.705270206119103,0.869047619047619
"3",70,1,0.858730158730159,0.189940720165889,0.841549556416592,0.174147986356599,0.852666709458113,1
"4",80,0.666666666666667,1,0.129007492551711,0.830662667433071,0.109119528064235,0.727272727272727,1
"5",90,NA,NA,0.130319117816503,0.829733690339693,0.100006831230986,NA,NA
