"","train","1_poor","2","3","4","5","6","7_rich"
"1",50,NA,0.0330200511624103,0.124845435334711,0.803767778331174,0.135629284020062,0.0375595888499091,NA
"2",60,NA,0.0422345229050618,0.125768298809001,0.803638538579927,0.135899698065553,0.0478796974299796,NA
"3",70,NA,0.0507343373982386,0.136037272619823,0.802450358286497,0.135126199270774,0.0631891475423936,NA
"4",80,NA,0.0749049769250592,0.159697353448145,0.807472128479549,0.141196755087761,0.0845945704341106,NA
"5",90,NA,NA,0.162654893077764,0.809149618665037,0.134637762783444,0.174163010192422,NA
