"","train","1_rich","2","3","4","5","6","7_poor"
"1",50,0,0,0.0282881230037305,0.793334914946688,0.0798963426474856,0.0154490741269319,0
"2",60,0,0,0.0225831590777553,0.798024244701423,0.074982272810292,0.0307991692006452,0
"3",70,0,0.00181818181818182,0.0191334918615722,0.80288569318689,0.0661037239001478,0.0385229786312034,0
"4",80,0,0,0.0192364330182217,0.800287118429452,0.0670715833831322,0.0344628799978251,0
"5",90,0,0,0.0205071569786454,0.798579691181197,0.0532750932612678,0.0409357717445953,0
