"","train","1_poor","2","3","4","5","6","7_rich"
"1",50,0.866666666666667,0.669611434317317,0.261229612378084,0.850828760907281,0.184025277174593,0.366273877632277,0.761038961038961
"2",60,0.833333333333333,0.737447633635714,0.291970743581217,0.857718504289187,0.237635948496447,0.571380364130574,0.80952380952381
"3",70,0.8,0.830930735930736,0.250152067091311,0.855871725237574,0.19406866048486,0.699166164231924,0.866666666666667
"4",80,0.888888888888889,0.863247863247863,0.246630408848026,0.850625173613082,0.157971206689761,0.397132148249392,1
"5",90,NA,NA,0.179269079426493,0.837529583905392,0.105439761547379,0.233766233766234,NA
