"","train","1_poor","2","3","4","5","6","7_rich"
"1",50,0.694444444444444,0.678803249890206,0.328818155323434,0.870450501693557,0.292788289598506,0.633201759150807,0.64021164021164
"2",60,0.833333333333333,0.859600389863548,0.213627282635826,0.853307650371695,0.156643068234449,0.715882527647233,0.777777777777778
"3",70,0.833333333333333,0.872619047619048,0.231618860310581,0.856272756239161,0.172070539505164,0.794712093713909,0.833333333333333
"4",80,1,0.875,0.166121628604663,0.843808729342268,0.104836937523664,1,0.666666666666667
"5",90,NA,NA,0.169317750272059,0.847953384063649,0.09998931456909,NA,NA
