"","train","1_rich","2","3","4","5","6","7_poor"
"1",50,0,0.0121943471503722,0.1332701422352,0.683880334443568,0.140962333007073,0.0188403621393225,0
"2",60,0,0.022135800280722,0.135927222884606,0.679193620549337,0.130637350240248,0.0280606902742344,0
"3",70,0,0.0296407543803708,0.134211226687299,0.682778411406431,0.137064235223086,0.0232546128919874,0
"4",80,0.02,0.0260811193991062,0.137515395262796,0.688963001278242,0.131140694887637,0.0293936128695049,0
"5",90,0,0.0179454317612212,0.131624370333521,0.685279384702894,0.12296474303488,0.0138649425287356,0
