ac,dist,lci,uci
0.868030252832544,0,0.0123020790659766,0.0599048234121941
0.568273750408072,0.5,-0.0229585668913845,0.0217772753199708
0.354852123453413,1,-0.0357008393488496,0.0243269494046125
0.265759880972688,1.5,-0.0313981835261991,0.0229262466655331
0.164990573870326,2,-0.0318983852832998,0.0317766612245605
0.0967310316245297,2.5,-0.0378045133254825,0.0333287835314956
0.111860140460031,3,-0.0415120920165408,0.0320002451775833
0.0768681622066452,3.5,-0.0334433993194483,0.0398860579276638
0.0884749943508909,4,-0.0411385801734112,0.0304659523569618
0.0774947563015961,4.5,-0.029137694535999,0.0311283841681823
0.0343358244086846,5,-0.0272349174752496,0.0276365406253241
-0.05354172893994,5.5,-0.0316697303116168,0.0378218400878523
-0.142032007940466,6,-0.0261800077428437,0.0328465130188847
-0.124014373671897,6.5,-0.0373656556246166,0.0328494833411469
-0.102437301023349,7,-0.0392650896090624,0.0207474975102494
-0.199104598065186,7.5,-0.0342581468328482,0.023238530957561
-0.251939964624442,8,-0.0303943695790658,0.0196092523009607
-0.232832290889556,8.5,-0.0227261452591309,0.0289061049747676
-0.225066270101366,9,-0.0335339999912925,0.0198067776958569
-0.168206587426815,9.5,-0.0266075001549199,0.0219889397739482
-0.130736541901471,10,-0.0218795854674826,0.0223224099661516
-0.185859611201279,10.5,-0.025016224621684,0.0226934209364094
-0.209866139410458,11,-0.0242581543082441,0.0249694030080615
-0.147891285725781,11.5,-0.0238064940999018,0.0183883829434674
-0.0934725288034818,12,-0.025972549623533,0.0222175011254735
-0.103560456284808,12.5,-0.0233642702894894,0.0272433446492169
-0.0823128302000337,13,-0.0211149570011724,0.0221312208989831
-0.0514004306469248,13.5,-0.0238935888491489,0.0215262335868043
-0.0248042975756909,14,-0.0235351603370383,0.0264410118446663
-0.0238660518651368,14.5,-0.0188534177057336,0.020618349359868
-0.0220445817737318,15,-0.0177865734841571,0.0213064348451683
-0.0235057129263875,15.5,-0.021452802549332,0.0196991608225087
-0.0388028309909652,16,-0.016946670785699,0.0249003375494921
-0.0560775319845718,16.5,-0.0240307162658234,0.0210044370634333
-0.061640359604482,17,-0.0432016472231983,0.0258020515376061
-0.0425143714922652,17.5,-0.0205325535387023,0.0185848179597711
-0.0240514376497502,18,-0.026944654045512,0.0191550228674017
-0.0188911298213577,18.5,-0.0211816158908846,0.0206702420808565
NA,19,-0.029578261432451,0.0191668642503032
