ACE,arts_centre,atm,bank,bar,bbq,bench,bicycle_parking,bicycle_rental,bookshop,bureau_de_change,bus_station,cafe,car_rental,car_sharing,car_wash,charging_station,childcare,cinema,clinic,clock,college,community_centre,conference_centre,courthouse,coworking_space,dentist,doctors,dormitory,drinking_water,driving_school,embassy,emergency_phone,fast_food,fire_station,food_court,fountain,fuel,gambling,grave_yard,gym,hospital,ice_cream,insurance,kindergarten,language_school,library,marketplace,massage,monastery,money_transfer,motorcycle_parking,nightclub,parking,parking_entrance,person_weighing,pharmacy,photo_booth,place_of_worship,police,post_box,post_office,pub,public_bookcase,public_building,recycling,recylcing,restaurant,school,shelter,shower,social_centre,social_club,social_facility,studio,swimming_pool,taxi,telephone,theatre,toilets,townhall,university,Upcoming supermarket,vending_machine,veterinary,waste_basket,waste_disposal,water_point,wifi
21,0,0,0.021276459597123,0.0158117689216514,0,0.020387007601935,0.00611738206762395,0,0,0,0,0.01309222145435,0,3.19946760858993e-05,0.000185569121298216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025403772812204,0,0,0,0.00191968056515396,0,0,0,0.00156773912820907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019068826947196,0,0.00883053059970821,0,0,0,0.00115180833909237,0.000518313752591569,0,0,0,0,0,0.0418810309964422,0.0010494253756175,0,0,0,0,0,0,0,0.000588702039980547,0.00366019094422688,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0.0132060783706281,0.0322466617416931,0,0.105450039320354,0.0569549364916712,0.000714915520815957,0,0,0,0.0216698837865103,0,1.98587644671099e-05,0,0,0,0,0,0.000826124601831772,0,0,0,0,0,0,0,0,0.00946071539213116,0,0,0,0.00238305173605319,0,0,0.000146954857056613,0.00583847675333031,0,0,0,0,0.000297881467006649,0,0,0,0.000254192185179007,2.78022702539539e-05,0,0,0,0,0,0.00212091604508734,0,0,0.00959178323761409,0,0.000139011351269769,0,0.00357457760407978,0,0.00293115363534542,0,0,0.00188658262437544,0,0.0408494785088451,0.000651367474521205,0,0,0,0,0,0,0,0.000730802532389645,0.0124951346027056,0,0.000611649945586985,0,3.97175289342198e-05,0,0.000675197991881737,0,0.0873785636552836,0,0,0
23,0,0.000898410504492053,0.0109421792213776,0.0243953006219765,0,0.0685003455425017,0.0418428933425478,0.00082930200414651,0,0,0,0.043989864086616,0,0,0,0,0,0,0,0.000958304538124856,0,0,0,0,0,0,0,0,0.0128035014973508,0,0,0,0.00345542501727713,0,0,0,0.00225754434462106,0,0,0,0,0.000691085003455425,0,0,0,0.000147431467403824,0,0,0,0,0,0,0,0.00205943331029717,0,0.00476848652384243,0,0,0,0.00165860400829302,0,0.00340013821700069,0,2.30361667818475e-05,0.00131306150656531,0,0.0646164478230822,0.000377793135222299,0,0,0,0,0,0,0,0,0.00658834369960839,0.000156645934116563,0.00106427090532135,0,0,0,0.000783229670582815,0,0,0,0,0
24,2.50393117193995e-05,0.000651022104704386,0.00713620384002884,0.0017677754073896,0,0.0212733992368018,0.00718127460112376,0,0,0,1.00157246877598e-05,0.0170768105926304,0,0,0.000145228007972517,0,0,0,0,0,0,0,0,0,1.50235870316397e-05,0,0,0,0.0119287281031219,0,0,0,0.0045070761094919,0,0,0,0.00245385254850115,0,0,0,0,0,0,0,0,0,0,5.00786234387989e-06,0,0,0,0,0,0,0,0.00518313752591569,0,0,0,0,0,0.000615967068297227,0,0,0.00380597538134872,0,0.0374588103322216,0.000821289424396302,0,0,0,0,0,0,0,0,0.00143224863034965,0.000170267319691916,0.00154242160191501,0,0,0,0.000851336598459581,0,0,0,0,0
25,0,0,0.0201566459341166,0.0213993865105057,0,0.0128760048012221,0,0,0,0,0,0.0330750857794105,0,0,0.000175802325440415,0,0,0,0,0.00126092702384849,0,0,0,0,0,0,0,0,0.00722001964136326,0,0,0,0.00181864474593533,0,0,0,0.0029704530850277,0,0,0,0,0.000454661186483832,0,0,0,0,0,0,0,0,0,0.000218237369512239,0.00107906254925496,0.00270978067144364,0,0.0104572072891281,0,0,0,0.00218237369512239,0.000982068162805078,0.000745644345833485,0,0,0,0,0.0736854229561464,0,0,0,0,0,0,0,0,0,0,0.000206113071206004,0,0,0,0,0,0,0,0,0,0
26,0,0.000374337710205022,0.00820663441603317,0.0142305920294863,0,0.012232204561161,0,0,0,0,0,0.00785533287261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457267910619673,0,0,0,0.000863856254319281,0,0,0,0.00564386086155264,0,0,0,0,0.000431928127159641,0,0.000109421792213776,0,0,0,0,0,0,0,0,0,0,0,0.00794747753973739,0,0.000201566459341166,0,0,0.000466482377332412,0,0,0,0.000547108961068878,0,0.0484623358673117,0.000472241419027874,0,0,0,0,0,0,0,0,0.00494125777470629,0.000195807417645704,0,0,0,0,0.000979037088228519,0,0.0172771250863856,0,0,0
27,0,0,0,0,0,0.0658657168677901,0.00423511066220119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351744546630518,0,0,0,0,0,0,0,0.00217071571598178,0,0,0,0,0,0,0,0,0.000283522052699662,0,0,0,0,0,0.000318962309287119,0.00315418283628373,0.0026402991157656,0,0.00611344426133645,0,0.000310102245140255,0.000221501603671611,0,0.000717665195896018,0,0,0,0,0,0.00828415997731824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0.0091184826844813,0.00903529652665796,0,0.0475696844045151,0,0,0,0,0,0.00436407381811667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762113184366121,0,0,0,0.000959840282576979,0,0,0.000236760603035655,0.00627095651283626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113901046865802,0,0,0.00883053059970821,0,0,0,0.00115180833909237,0.000518313752591569,0.000787069031713123,0,0,0.000607898845632087,0,0.0239320177122527,0,0,0,0,0,0,0,0,0,0,0,0.000492718011722849,0,0,0,0.00108781898692058,0,0.00639893521717986,0,0,0
29,3.19946760858993e-05,0,0.0121579769126417,0.00677647239499347,0,0.02718267680258,0.0122347641352479,0,0,0,0,0.00436407381811667,0,0,0.000185569121298216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012701886406102,0,0,3.19946760858993e-05,0,0,0,0,0.00940643476925439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000230361667818475,0,0,0,0.0044152652998541,0,0,0,0,0.000518313752591569,0,0,0,0.000607898845632087,0,0.0239320177122527,0,0,0,0,0,0,0,0,0.00117740407996109,0,0.000435127594768231,0,0,0,0,0.00108781898692058,0,0,0,0,0
30,0,0,0.011723763451476,0.00580840490999441,0,0.0349491558890315,0,0,0,0,0,0.00561095205186428,0,0,0.000238588870240563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163309968078455,0,0,0,0.00123408036331326,0,0,0,0.0241879751209399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043933260933952,0,0,0.011353539342482,0,0,0,0.00444268930792773,0,0,0,0,0,0,0.0307697370586106,0,0,0,0,0,0,0,0,0,0.00705893967815184,0,0,0,0,0,0,0,0.0164544048441768,0,0,0
31,0,0,0.00497371782789889,0,0,0.0556009298234592,0.00500513078260141,0,0,0,0,0.0285648468094909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124709430169002,0,0,0,0,0,0,0,0.00256539130070574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186383531234948,0,0,0.00722497958157944,0,0,0,0.00376955456430232,0.000848149776968022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898410504492052,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0.012232204561161,0.00550564386086155,0,0,0,0,0.04713199723566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914535821239346,0,0,0,0,0,0,0,0.00846579129232896,0,0,0,0,0,0,0,0,0.00036857866850956,0,0,0,0,0,0,0,0,0,0.00794747753973739,0,0,0,0,0,0,0,0,0,0,0.0107694079705137,0,0,0,0,0,0,0,0,0,0.00329417184980419,0,0,0,0,0,0.00195807417645704,0,0,0,0,0
33,0,0,0.00994743565579779,0,0,0,0,0,0,0,0,0.0142824234047455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415698100563339,0,0,0,0,0,0,0,0.00256539130070574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186383531234948,0,0,0.00361248979078972,0,0,0,0.00188477728215116,0.000848149776968022,0,0,0,0,0,0.00979037088228519,0,0,0,0,0,0,0,0,0,0.00299470168164018,0.000356013486628552,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0.0152902557014513,0.00688205482607694,0,0,0,0,0.058914996544575,0,0,0.000417530522920986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228633955309836,0,0,0,0,0,0,0,0.0105822391154112,0,0,0,0,0,0,0,0,0.00046072333563695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411771481225524,0,0,0,0,0,0,0,0,0,0,0
35,0,0.000325511052352193,0.00951493845337179,0.0035355508147792,0,0.0106366996184009,0.00957503280149835,0.00090141522189838,0,0,0,0.0307382590667348,0,0,0,0,0,0,0,0,2.00314493755196e-05,0,0,0,0,0,0,0,0.00397624270104063,0,0,0,0.00150235870316397,0,0,0,0.00122692627425057,0,0,0,0,0,0,0,0,0.000160251595004157,0,0,0,0,0,0,0.00178279899442124,0.000746171489238104,0,0.00691085003455425,0,0,0.000125196558596997,0,0.000811273699708542,0,0,0,0.00047574692266859,0,0.0327764590406939,0,0,0,0,0,2.50393117193995e-05,0,0,0.00046072333563695,0.00429674589104895,0.000170267319691916,0,0,0,0,0,0,0,0,0,0
36,0,0,0.00547108961068878,0.00406588343699608,0,0,0.00550564386086155,0,0,0,0,0.00785533287261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137180373185902,0,0,0,0,0,0,0,0.0141096521538816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414651002073255,0,0,0,0.00397373876986869,0,0,0,0,0,0,0,0,0,0,0.0646164478230822,0,0,0,0,0,5.75904169546188e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0.0104211230679786,0.00193613496999813,0,0.0407740152038701,0.00524347034367767,0,0,0,0,0.0411469817136714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870986496418424,0,0,0,0.00246816072662652,0,0,0,0.00671888197803885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585776812452693,0.00163447088118823,0,0.00756902622832132,0,0,0,0.000987264290650607,0.000888537861585546,0.000674630598611248,0,0,0.00104211230679786,5.4848016147256e-06,0.0512828950976843,0,0,0,0,0,0,0,0,0,0.00313730652362304,0,0.000422329724333871,0,0,0,0,9.32416274503351e-05,0.0493632145325304,0,0,0
