id,lat,lon,public_transport
21298371,45.4507858,9.1685099,platform
32046339,45.5342147,9.2311495,stop_position
95760547,45.4909719,9.1537332,platform
114336657,45.4446254,9.1727674,stop_position
114359538,45.4595426,9.2239243,stop_position
114359567,45.469675,9.2238153,stop_position
139272794,45.4694596,9.1852517,stop_position
249586436,45.4912044,9.2369964,stop_position
249586442,45.5110719,9.2606213,stop_position
255588897,45.6987342,9.0361014,stop_position
256864852,45.6347139,9.1385935,stop_position
257553247,45.5217305,9.3622088,stop_position
258035691,45.4471073,9.2033952,stop_position
267957350,45.4983032,9.3261658,stop_position
268403415,45.4319019,9.1610501,platform
268403421,45.4301734,9.1601808,platform
268403461,45.4305002,9.163584,stop_position
268405030,45.4294997,9.1571248,stop_position
277695717,45.614819,8.8598539,stop_position
279205679,45.5139737,9.2212588,stop_position
295889986,45.4941468,9.3755274,stop_position
301621633,45.4594814,9.2240055,stop_position
306079216,45.5767264,9.3680654,stop_position
311042942,45.7029308,9.3560593,platform
317333831,45.5641653,9.1879348,platform
322845517,45.5539874,9.1978736,platform
322948690,45.5527776,9.1928897,platform
322964437,45.5521245,9.1897715,platform
322974692,45.5515777,9.1873155,platform
323099667,45.5507863,9.1840815,platform
324176142,45.5502749,9.1804817,platform
324189116,45.5496953,9.1765698,platform
324405911,45.5515278,9.1875611,platform
324411433,45.5520143,9.1898434,platform
324457996,45.5527649,9.193323,platform
330805012,45.6162327,8.8323201,stop_position
330808277,45.6159317,8.8245604,stop_position
332262368,45.5489332,9.1755202,platform
335443676,45.4530712,9.1691792,stop_position
340493839,45.5201942,9.2749653,stop_position
345344652,45.5498109,9.1901258,platform
348094442,45.5502678,9.1950609,stop_position
352711730,45.5452839,9.1865059,platform
352711738,45.5451121,9.1862682,platform
352828790,45.5416103,9.1768689,stop_position
352830878,45.5419333,9.1767846,stop_position
352869735,45.5467055,9.1772934,platform
352874237,45.5467763,9.1782869,platform
353025570,45.5474613,9.182312,platform
353118030,45.5479856,9.1854625,platform
354121896,45.5512747,9.2022882,platform
355384600,45.5485376,9.18276,platform
365566452,45.5136355,9.2113767,stop_position
365566465,45.5160169,9.2137196,stop_position
367716958,45.5554657,9.2045249,platform
367912856,45.5570182,9.2100103,platform
367919613,45.558852,9.2129443,stop_position
367922592,45.5588627,9.2129803,platform
368032182,45.5582331,9.2068265,platform
368047779,45.5573259,9.2013763,platform
428787332,45.4561561,9.1544711,platform
428791961,45.4565361,9.1547945,platform
432828376,45.4516472,9.2025703,stop_position
432845456,45.443727,9.1672911,stop_position
441118967,45.4961456,9.1948236,stop_position
441118969,45.5016262,9.19792,stop_position
441118971,45.5072425,9.2011103,stop_position
441118974,45.5147339,9.2053699,stop_position
441118976,45.5219945,9.2094736,stop_position
441118977,45.5267842,9.2121805,stop_position
456344433,45.436895,9.1680126,stop_position
468481207,45.6896429,9.6162341,stop_position
471017036,45.6030921,8.8565458,stop_position
479328765,45.4456877,9.1846552,stop_position
497798509,45.6509574,9.6529787,stop_position
503337616,45.5985087,8.8464717,stop_position
503338261,45.5982145,8.8430912,stop_position
503338412,45.5982251,8.8432615,stop_position
506111737,45.443603,9.1784738,platform
523439924,45.7074269,9.6259675,stop_position
523439925,45.7075008,9.6260777,stop_position
544952272,45.6003081,8.8580049,stop_position
612683543,45.5713809,9.209287,platform
612936517,45.6796948,9.6479875,stop_position
612936527,45.6800231,9.6475571,stop_position
616203821,45.6936546,9.6293433,stop_position
616203906,45.6936292,9.631552,stop_position
628083441,45.579981,9.0802087,stop_position
633765157,45.549518,9.1686273,platform
643630969,45.502156,9.1247124,stop_position
643630972,45.5000294,9.1294056,stop_position
656441495,45.5814294,9.1551988,platform
657920198,45.680052,9.6440271,stop_position
657920221,45.6809039,9.645626,stop_position
657920223,45.6806638,9.6458229,stop_position
661288935,45.4902349,9.1510223,stop_position
661288952,45.4898901,9.1518414,stop_position
661556391,45.4553078,9.172684,stop_position
661556393,45.4573799,9.175713,stop_position
661556396,45.4588937,9.1779159,stop_position
661556424,45.4645078,9.18725,stop_position
661556426,45.4643888,9.1869987,stop_position
662064280,45.5614275,9.1615677,platform
662344054,45.4549721,9.1126058,platform
676384367,45.6933134,9.610237,stop_position
676384405,45.6932572,9.6107782,stop_position
678880596,45.4560831,9.155704,platform
678880598,45.4576396,9.1605322,platform
678880613,45.4674541,9.176741,platform
679403079,45.498055,9.1337398,stop_position
679403086,45.4980203,9.1337669,stop_position
679447437,45.4927608,9.1454442,stop_position
680094629,45.466289,9.1887523,stop_position
680377132,45.4714387,9.1731416,platform
680377135,45.472245,9.1732352,platform
680520360,45.4736196,9.170531,platform
687864649,45.4674159,9.1765143,platform
693845135,45.5032671,9.1222886,stop_position
693845148,45.5014124,9.1262696,stop_position
693845153,45.4997637,9.1299158,stop_position
693845157,45.4963731,9.1373973,stop_position
693845194,45.4931674,9.144463,stop_position
693845214,45.4944964,9.1415415,stop_position
693845217,45.4945121,9.1415836,stop_position
693864306,45.4960895,9.1380917,stop_position
693933509,45.5011584,9.1268993,stop_position
715883679,45.4662101,9.1862067,stop_position
715948266,45.4642926,9.1873935,platform
715987136,45.4434835,9.1787649,platform
715987155,45.445924,9.1879986,platform
715987159,45.4464157,9.1950629,platform
716008478,45.4500504,9.1557438,platform
716008561,45.4501144,9.1558318,platform
716008562,45.448234,9.1577942,stop_position
716008564,45.4447307,9.1635959,platform
716008566,45.4440938,9.1673734,stop_position
716008568,45.4439347,9.1717963,platform
716008570,45.4437638,9.1752111,platform
716015766,45.4529163,9.154048,platform
716023944,45.4557087,9.1524272,platform
723173231,45.4778982,9.168951,platform
723173232,45.4769277,9.1708303,stop_position
723173234,45.4764377,9.1714128,stop_position
723173235,45.4791246,9.1674246,stop_position
723173237,45.4801672,9.1660639,stop_position
723173239,45.4803857,9.1657201,stop_position
723173240,45.4792977,9.1671503,stop_position
723173242,45.478257,9.1685756,stop_position
