CVE_GEOAGE,closeness,betweenness
0900300010893,1.09955923687234e-11,6169320.22878381
0900300011730,1.10525377557046e-11,3982783.0662274
0900300011726,1.10516763781577e-11,6470068.83496299
0900300010997,1.08131445485771e-11,5120884.84438465
0900300011020,1.09265247766245e-11,5490364.80559485
0900300011016,1.08831099659523e-11,4492028.46303943
0900300010817,1.08451792319566e-11,7523313.06564695
0900300010821,1.08706947320682e-11,6817228.51527815
0900300010840,1.09468935798164e-11,6002534.61425338
0900300010855,1.0993276363543e-11,5258020.51533364
0900300010802,1.08399232377654e-11,5458935.45869027
0900300010639,1.09186562702496e-11,3852947.82728269
0900300011162,1.09921513870511e-11,5460607.64177352
0900300010446,1.1153114081974e-11,7066400.42035876
0900300010291,1.13207385175849e-11,10809893.411274
0900300010056,1.14966562804662e-11,9948927.63300713
0900300010183,1.14484050382149e-11,9207302.74580737
0900300010624,1.09079816201797e-11,4252687.19999749
0900300011302,1.09186939088595e-11,5149905.01267587
0900300011374,1.05941601611773e-11,5390969.8269334
0900300011001,1.07671076457679e-11,5302628.48133841
0900300010450,1.12339884960033e-11,8418044.18257014
0900300010573,1.11080112250529e-11,6970757.88688762
0900300010111,1.12593869917646e-11,12538650.9316315
0900300010234,1.11083792447621e-11,8620708.72396455
0900300010249,1.11267039561471e-11,8987776.1405351
0900300010107,1.16634932587529e-11,11967673.6788067
0900300010060,1.16093656547275e-11,9190433.47168789
0900300010094,1.16956942243206e-11,15886903.9577239
0900300010075,1.15147493523652e-11,12138891.1756799
0900300010499,1.13372359728312e-11,5798722.39146448
0900300011092,1.08696268455578e-11,6283575.48550084
0900300011514,1.04714266982638e-11,2480436.91865371
090030001150A,1.08967989149285e-11,4267388.33717215
0900300011497,1.0879570004318e-11,3919805.53382217
0900300011463,1.09020971338061e-11,6860886.96100836
0900300011478,1.07252174611188e-11,4277181.29120473
0900300011073,1.09087444081806e-11,4873654.59530455
0900300011707,1.11702215236314e-11,12423663.3997872
0900300011745,1.10980068398834e-11,6652897.08006687
090030001086A,1.10920097438341e-11,8678720.19937494
0900300010696,1.11941434335006e-11,14177117.9434784
0900300010709,1.11995521712135e-11,11058746.2051521
0900300011656,1.06821804252706e-11,6531199.27681886
0900300010963,1.07613153866386e-11,8020784.54908067
0900300010770,1.07361575310134e-11,7587143.89789562
090030001079A,1.07482400367938e-11,5676075.19299046
0900300010304,1.13444482855182e-11,14666165.4505438
0900300010164,1.14113660882457e-11,12984316.0589041
0900300010319,1.13803831453842e-11,16289278.0120907
0900300010198,1.15053174710336e-11,9831038.3840776
0900300010130,1.13639055259978e-11,11156560.6982698
0900300011660,1.06478504708065e-11,7911895.89661493
0900300011641,1.06290445055529e-11,6949305.26198551
0900400010180,1.01884107163789e-11,3678988.26617154
0900400010195,1.02794451367273e-11,4341202.34987773
0900400010369,1.00190552102126e-11,5857007.07217938
0900400010123,9.74160869125333e-12,4676416.9716296
0900400010212,9.7499028044664e-12,6166581.34307272
0900400010392,9.48971243592552e-12,2663411.098276
0900400010104,9.76094314457829e-12,6268840.11199518
0900400010138,9.80350740709956e-12,4955515.0726432
0900400010119,9.6532225972713e-12,3213832.93706689
0900400010049,1.00148003402845e-11,4851134.80638015
0900400010208,9.61251489468436e-12,3475945.98039652
0900400010053,9.66609747372579e-12,2776482.87722671
0900400010405,9.89732729504609e-12,4768945.9917538
090040001002A,9.73168098131126e-12,5648326.84258216
0900400010301,9.65893767350067e-12,2737062.64290609
0900400010299,9.63839116250617e-12,3631878.26524872
0900400010354,9.7833143070819e-12,5596698.08484331
090040001041A,9.7843264882848e-12,4286178.77837894
090040001027A,9.72946457833438e-12,6536847.81330287
090040001034A,9.64264148105819e-12,3034951.59323582
0900400010072,9.64893589653613e-12,2748861.16431657
0900400010231,9.4817622544744e-12,2596786.80041935
0900400010320,9.77816745802468e-12,3899650.292927
0900400010091,9.56203616419338e-12,4204579.20819427
0900400010176,1.01060835909327e-11,4231827.38182535
0900400010227,9.43475541702512e-12,3005716.57448895
0900400010373,9.92674168918788e-12,4218520.56663071
0900400010250,9.64778818403552e-12,2450020.25519692
0900400200246,9.20447935995012e-12,1816358.3989742
0900400200388,9.1700609658847e-12,1571173.87916686
0900400200316,9.15558992734253e-12,1841578.03487032
090050001014A,1.16220857278506e-11,10270808.1053833
0900500012803,1.18092698718979e-11,7587988.89815263
0900500012822,1.17751855498035e-11,8321119.68713427
0900500012790,1.17478990259901e-11,7913147.13185747
0900500012856,1.17396902379194e-11,12074118.7292817
0900500012593,1.08537090201052e-11,4561030.18819143
0900500010135,1.14986101581365e-11,8908475.36903169
0900500013271,1.12798798415684e-11,7706091.58550338
0900500012964,1.09088253381247e-11,3413967.55177583
0900500013322,1.07006034459981e-11,4150649.79764462
0900500010012,1.07636470834507e-11,3732477.79300542
0900500012610,1.09383871184016e-11,4827224.13688188
0900500012625,1.10598137381163e-11,4885028.28575196
0900500012752,1.12366764338185e-11,4238213.84225092
0900500012771,1.13774918839075e-11,6123073.39969808
0900500010205,1.15631361419585e-11,11019211.4867785
0900500010224,1.17034602789151e-11,8745724.78204671
0900500012841,1.18739051270969e-11,8806857.07613651
0900500012714,1.20905321336612e-11,8023216.46354391
0900500012362,1.18846908254414e-11,7068790.27594902
0900500012108,1.22838408676145e-11,8663098.02839997
0900500012095,1.22237826091659e-11,5909834.79644687
0900500012269,1.1974479715083e-11,6016530.41462088
0900500011985,1.17993245863071e-11,7962380.695335
0900500011203,1.1624308958221e-11,7820924.04167255
0900500011580,1.22659456684764e-11,7013145.86261474
0900500011576,1.22139873868536e-11,7815837.5562049
0900500010737,1.18986492308072e-11,11132337.5608013
0900500010629,1.18717291995502e-11,13270523.6045574
0900500010949,1.20094389077273e-11,9900637.97705447
0900500010934,1.20492219899402e-11,9330925.29707091
090050001060A,1.18629808789362e-11,8969351.49036643
0900500010597,1.18589313967346e-11,3999120.98397865
0900500013110,1.17789016018609e-11,9815566.87454144
0900500012875,1.1749886433694e-11,13354179.1439457
0900500012860,1.18149075633932e-11,11139823.3659933
0900500010582,1.18363104845282e-11,7301780.76650972
0900500010900,1.18034724477828e-11,14526381.0754002
0900500010915,1.19104800393131e-11,14428798.9843554
0900500011152,1.19026690146962e-11,5701365.750803
0900500010811,1.17988626614262e-11,6020702.78977246
090050001217A,1.23590071225074e-11,8533995.8092993
0900500012076,1.22959245673706e-11,7207433.72494385
0900500012201,1.2360477953186e-11,7756468.11953874
0900500013229,1.12080587897129e-11,6717473.54614327
0900500010332,1.17940766195745e-11,9069380.61094083
0900500012004,1.18167597661119e-11,8422856.49430069
0900500011716,1.17167756711654e-11,9238230.02254779
0900500011699,1.17473904098526e-11,5119265.65175857
0900500011345,1.1605633666581e-11,7759810.35719843
0900500011218,1.15769178240277e-11,8972226.28530849
0900500011059,1.1533430341922e-11,7909119.43154064
0900500011909,1.18287745476966e-11,7167480.77984455
0900500011881,1.21381722785563e-11,8132505.07390293
0900500011896,1.19863083493254e-11,9425596.96134567
0900500011631,1.19577418760307e-11,10840329.9671685
0900500013144,1.14970151521914e-11,9821215.40297297
0900500011523,1.16835275687966e-11,7699009.39229016
0900500012930,1.17017198430973e-11,7984141.54330092
0900500011330,1.16347511702652e-11,8171661.69370898
0900500011326,1.1742999233017e-11,8613941.18841919
0900500011792,1.2170281672595e-11,7533534.00430745
0900500011415,1.21654956864417e-11,14141437.2716656
0900500011453,1.19789713114332e-11,12906303.3029638
0900500011449,1.20924719099895e-11,8178470.74263078
0900500013163,1.17353267273515e-11,7962539.71340836
0900500011190,1.16554955674125e-11,6526584.37679975
090050001263A,1.17911687792603e-11,7955359.18875806
0900500012894,1.18131062840455e-11,5275188.96787793
0900500012678,1.17838160411939e-11,6171820.6845012
0900500012697,1.17375508414392e-11,6655728.82457858
0900500010671,1.17563739123843e-11,7455658.57274958
0900500011472,1.19357000766449e-11,9354568.41911419
0900500011468,1.19030179315556e-11,12230867.5079692
090050001085A,1.15438426513997e-11,7023356.52036974
0900500013089,1.12811501080286e-11,5822626.56001637
0900500012945,1.18816642143867e-11,4711232.05778156
0900500010421,1.19784480288947e-11,14224007.8411209
0900500011913,1.17401885092287e-11,6162897.25319587
0900500011167,1.19002496918265e-11,9910189.42213404
0900500011294,1.19246465028266e-11,9933820.50019174
0900500010794,1.18567878994157e-11,8103967.99602769
0900500012644,1.17786239356852e-11,10260857.5576692
0900500011044,1.15672464616942e-11,6161422.01692535
0900500011148,1.19141663753626e-11,7366798.59553259
0900500011627,1.2008153329516e-11,12650276.8732569
0900500011839,1.20995551788664e-11,10413762.1149705
0900500013341,1.17980122862337e-11,6966804.85584506
090050001103A,1.16060293430031e-11,6118034.74108833
0900500013159,1.1489828303665e-11,6265381.15383937
0900500010864,1.15205800829285e-11,7391023.71554074
0900500011311,1.18248968649088e-11,8956761.20090976
0900500013407,1.17871109041516e-11,9354770.0243152
0900500011487,1.19546955801942e-11,9101848.16394903
0900500011650,1.18245794958907e-11,10258152.1703882
0900500011858,1.21428536185397e-11,8822699.37875842
0900500011538,1.16388172113155e-11,6907054.64553757
0900500011970,1.17644958696399e-11,6775568.25282797
0900500011701,1.17453360003316e-11,5447409.69981266
0900500012023,1.18084340568765e-11,6145010.92255392
0900500011843,1.21035877820109e-11,9300287.84672002
0900500011877,1.21319214622609e-11,9452329.25566826
0900500011862,1.21667260399948e-11,7110462.78979289
0900500012080,1.21903393932854e-11,5158908.62306029
0900500012220,1.22892506229923e-11,6826641.28861969
090050001224A,1.2074121261636e-11,5666779.8882166
090050001270A,1.20384004444455e-11,5436023.66492587
0900500012216,1.23281702940195e-11,7109318.3941901
0900500012061,1.23062422854659e-11,8207129.53603211
0900500012057,1.2342916014708e-11,8768382.72618778
090050001128A,1.198862940785e-11,9687105.14190713
0900500010898,1.17609308570763e-11,12268674.207403
090050001092A,1.20315357166484e-11,9594433.12981353
0900500010953,1.19716128980432e-11,13251358.2794234
0900500013337,1.17530454867925e-11,11287761.7103745
0900500011951,1.19077175672286e-11,6460561.89819679
0900500012254,1.20055104742454e-11,5956271.83794321
0900500010455,1.18776151522755e-11,9566993.54907675
0900500010440,1.1930844135389e-11,12057963.9130695
0900500010402,1.19129201926587e-11,11481657.9315087
0900500010436,1.19593178707813e-11,12975487.8064602
0900500010243,1.16800346163048e-11,6201451.88312665
0900500010188,1.16895050818724e-11,9089088.77630989
0900500013214,1.12047463871485e-11,5663667.89965134
0900500012748,1.11606814519752e-11,4612964.15384759
0900500010099,1.13904678934108e-11,8405630.54023785
0900500010296,1.19508821933431e-11,9771154.61838405
090050001181A,1.22961675067799e-11,9541961.54783112
0900500013125,1.18847231227382e-11,6240766.6821083
0900500010506,1.18070297550221e-11,11259160.7111884
0900500013017,1.10750999443531e-11,7200168.05295416
0900500010883,1.17714085784835e-11,13323150.783862
0900500011237,1.2041710912854e-11,9492036.94201604
0900500010173,1.16726544675793e-11,11854214.8815507
0900500012663,1.17084434140479e-11,5255036.33894989
0900500010050,1.10720183184131e-11,4915006.12517065
0900500010101,1.1289820859355e-11,6291471.23682296
0900500012983,1.13328375974377e-11,8779637.50499852
0900500012837,1.19126545402012e-11,7234426.24995903
090050001313A,1.18001352716152e-11,10243555.2619954
0900500010722,1.18928050865515e-11,10567307.2393438
0900500011824,1.23723936784802e-11,11691442.7560916
090050001135A,1.15593205098325e-11,9087259.94233854
0900500013252,1.09785606006095e-11,5773922.36592186
0900500012606,1.08131329941364e-11,3163741.00882491
0900500012733,1.0912564186349e-11,5361663.01353556
0900500010262,1.17034804683598e-11,7057285.3844378
0900500012396,1.1905792522528e-11,6274909.72904847
0900500011595,1.22897684885159e-11,7100915.58614499
0900500011434,1.2092962076949e-11,9747693.10423927
0900500011684,1.16915370773921e-11,8314229.48259662
090050001167A,1.17289980989906e-11,6326117.18000611
0900500011769,1.23011971140124e-11,10357778.1103721
0900500012786,1.17494635518992e-11,10613950.9089157
0900500010351,1.18505733748027e-11,17442584.809719
0900500012574,1.15458376543138e-11,9260531.16455843
0900500010633,1.19301927773609e-11,13224776.9444987
090050001231A,1.21806947974498e-11,6780359.27967787
0900500012112,1.20568618110232e-11,7800024.46165563
0900500012466,1.21235542637493e-11,9604131.60550905
0900500011542,1.16708985577961e-11,10987026.9719897
0900500011222,1.15723804580497e-11,12564217.1969427
0900500012381,1.19058849529821e-11,8490801.23145707
0900500012305,1.23344356426927e-11,8278889.80286547
0900500012288,1.24046309125847e-11,7743396.85894637
0900500012273,1.24561619174331e-11,10597759.465202
0900500012199,1.23996667124731e-11,9096894.36366944
0900500012184,1.23965139210203e-11,12880159.3052866
090050001174A,1.2289786344017e-11,12933332.6944885
0900500013360,1.16509288134027e-11,8711503.17124665
0900500013411,1.14115174859162e-11,10057120.2327646
0900500012979,1.11010972177414e-11,8142659.39143729
0900500012485,1.19455759934579e-11,10507788.2808896
0900500010830,1.17048940004079e-11,8354979.54857051
0900500010826,1.17158585231192e-11,7379506.71912229
0900500010370,1.19453257911622e-11,10071318.1140172
0900500011612,1.21420133779146e-11,8520799.81485091
0900500012377,1.1882564944781e-11,7938146.08717932
0900500012127,1.19669614799176e-11,6539691.56197156
0900500012131,1.19037290155683e-11,7993163.1349387
090050001295A,1.1824712619948e-11,6644603.78120829
0900500011735,1.22629635712488e-11,13276282.3876905
0900500011400,1.21013700265021e-11,11754628.3385544
0900500011788,1.21789229766126e-11,7683556.7505722
0900500013267,1.10696442375238e-11,6806895.72675043
0900500011364,1.16216376022397e-11,7704882.26957713
0900500011773,1.23298896643096e-11,12312601.9135203
0900500010614,1.17762031534224e-11,12990113.5007664
0900500010258,1.16725927201564e-11,6100965.76569758
0900500013248,1.0702034367319e-11,2884299.39330966
0900500012659,1.17349951554726e-11,5722576.9203264
0900500012998,1.13356427656751e-11,9846872.85093956
0900500012409,1.19174557363616e-11,6121137.29378706
0900500012447,1.19965144803341e-11,6934921.0011309
0900500012358,1.19144128433482e-11,7586727.2963882
0900500012470,1.19052554548933e-11,8319913.07795256
0900500012343,1.21440632297036e-11,7666685.92129928
0900500012428,1.19112963682729e-11,6471381.06329901
0900500011805,1.21427573376875e-11,9203539.72582478
0900500010807,1.17249308955834e-11,8900126.7337515
0900500010760,1.20104987861173e-11,13472335.8666206
0900500010987,1.19029552798016e-11,9025294.57842386
0900500011557,1.22395542937533e-11,10920371.1750931
0900500011720,1.2223556568558e-11,14318256.8489094
0900500011398,1.21561615962603e-11,11762253.6609969
0900500011114,1.2016973510157e-11,12024059.5235362
0900500011256,1.19740468119115e-11,11348366.7591424
0900500011260,1.20945775824434e-11,13638911.7731939
090050001110A,1.20273292837877e-11,9500109.62319891
0900500011097,1.20424274576073e-11,11761535.9872187
0900500010366,1.19861934779545e-11,9516788.63220525
0900500013303,1.17899449401304e-11,13402363.5315735
0900500013290,1.18977305423869e-11,7779107.0542634
0900500013375,1.16988244086309e-11,11145896.5046989
0900500010525,1.17296992003952e-11,11723586.6001651
090050001338A,1.17408242117305e-11,11530808.1793524
0900500010563,1.18108043834753e-11,10602072.7348686
0900500013356,1.16708379000761e-11,10684385.0348617
0900500013182,1.15977296971255e-11,11328431.3562989
0900500013093,1.14938793039379e-11,5874289.66834138
0900500010192,1.16252605227389e-11,12951791.4182906
0900500012729,1.08694973298124e-11,5640553.35056564
0900500010027,1.08513757579995e-11,3839246.98915975
0900500013233,1.07430551615994e-11,3121616.76940323
0900500013445,1.06769170066955e-11,3648561.26010403
0900500013430,1.07781088732956e-11,5556143.43878109
0900500013318,1.06945221066683e-11,4159477.82434925
0900500010703,1.15765600247195e-11,13882827.5292622
0900500012432,1.19602946063169e-11,6327474.44539688
0900500012451,1.20340779142549e-11,7176408.14421416
0900500011665,1.17732022740552e-11,6984167.23858138
0900500013394,1.17906797411488e-11,10077110.277774
0900500011307,1.17976372286408e-11,9128359.81276241
0900500011171,1.17542850491854e-11,9787177.03542023
0900500012339,1.20308006912919e-11,7295268.92461592
0900500012324,1.20931593176747e-11,6253285.52431516
0900500012150,1.1981692088917e-11,6556452.89713432
0900500012146,1.20586334385387e-11,5620760.45017714
0900500010775,1.19184455404244e-11,9543078.94159253
0900500010972,1.19488403065633e-11,9023020.34801053
0900500010991,1.17716297929965e-11,6201814.99223301
0900500012767,1.13153721686636e-11,5024846.80068354
0900500010169,1.14352551231077e-11,5332557.89715666
0900500011063,1.18804141011096e-11,16001403.3890692
0900500010879,1.17454043107347e-11,12855206.1486981
0900500012536,1.09013423974124e-11,6505442.76359703
0900500012292,1.22584887462691e-11,8416234.21006112
0900500010493,1.19206109856522e-11,13257551.9499546
0900500010510,1.17406552750948e-11,14101733.244177
0900500011082,1.20817758238338e-11,15316540.8535389
0900500011379,1.21515061734604e-11,7875107.44697984
0900500011383,1.22070934106883e-11,8923597.43307958
0900500011241,1.20304687882574e-11,9176362.08818018
0900500011504,1.1865004898678e-11,7672356.73304567
0900500012907,1.18750737090959e-11,9229481.04047826
0900500010309,1.18623183985973e-11,16307293.677234
090050001039A,1.18372845461177e-11,20402791.745449
0900500010313,1.18191814184941e-11,12937543.6394683
0900500010328,1.18017271633968e-11,13302425.7730082
0900500011608,1.22396187591288e-11,8971309.26514041
0900500011561,1.21797027132526e-11,11590963.3994747
0900500011754,1.22627642111925e-11,10257028.775402
090050001142A,1.21565571741163e-11,9716320.33348031
0900500012235,1.21793995804487e-11,5454064.85241495
090050001306A,1.20067907315222e-11,2840837.30537675
0900500013074,1.19975106572171e-11,6202105.35038664
0900500013055,1.19801422063619e-11,7022564.3879828
0900500012038,1.18204075131418e-11,9728267.16990827
0900500012042,1.1849168101489e-11,7765804.08798589
