CVE_GEOAGE,AMPLIACION,ANDADOR,AVENIDA,BOULEVARD,CALLE,CALLEJON,CALZADA,CARRETERA,CERRADA,CIRCUITO,CONTINUACION,CORREDOR,DIAGONAL,EJE VIAL,OTRO,PASAJE,PEATONAL,PERIFERICO,PRIVADA,PROLONGACION,RETORNO,VIADUCTO,street_density
0900200010330,0,0,2.85861070980723,0,6.35267560954537,35.2839571563089,0,0,18.3981747434576,0,0,0,0,106.847911320217,0,0,0,0,1.8958424244724,0,0,0,0.00803377840616945
0900200010218,0,0,30.8729956659181,0,16.1260227011536,0,0,0,8.83112387685963,0,0,0,0,307.721984602224,0,0,0,0,2.27501090936688,0,0,0,0.0278534092881533
0900200010203,0,92.0960061443932,11.4344428392289,0,18.0806921194753,246.987700094162,0,0,25.7574446408406,0,0,0,0,0,0,0,0,0,15.1667393957792,0,0,0,0.0237581757742329
0900200010966,0,0,2.14395803235542,0,20.5240288923774,0,57.8264853395062,24.1752016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230753039814025
0900200010256,0,0,0,0,25.4107024381815,0,0,0,22.0778096921491,0,0,0,0,0,0,0,0,0,15.1667393957792,0,0,0,0.018391466583882
0900200011095,0,15.7878867676103,2.45023775126334,0,15.0788783699099,90.7301755447942,0,0,53.6175378237906,0,0,0,0,54.9503543932543,0,0,0,0,1.62500779240491,0,0,0,0.0162320648729289
0900200010275,0,0,23.5835383559097,0,45.4460639759784,0,0,0,16.5583572691118,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0293071772407567
0900200010190,0,0,73.7521563130266,0,20.2308284796291,0,0,0,57.4023051995876,0,0,0,0,384.65248075278,0,0,0,0,2.27501090936688,0,0,0,0.0195432324979806
090020001028A,0,0,57.8868668735964,0,11.7280165099299,0,0,0,22.0778096921491,0,0,0,0,0,0,0,0,0,22.7501090936688,0,0,0,0.0149546653724041
0900200011184,0,0,4.28791606471085,0,7.3300103187062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137537999691794
0900200011057,0,0,12.8637481941325,0,39.2155552050782,0,0,0,5.51945242303727,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0272597208270437
0900200010504,0,0,6.43187409706627,0,24.9220350836011,0,0,0,11.0389048460745,0,0,0,0,320.54373396065,0,0,0,0,0,0,0,0,0.0208480156779818
0900200010519,0,0,8.57583212942169,0,6.96350980277089,0,0,0,5.51945242303727,0,0,0,0,128.21749358426,0,0,0,0,0,0,0,0,0.010889866843728
0900200010716,0,0,25.7274963882651,0,13.1940185736712,0,0,0,30.9089335690087,0,0,0,0,102.573994867408,0,0,0,0,2.27501090936688,0,0,0,0.0173299804955273
0900200010364,0,0,22.8688856784578,0,32.2520454023073,0,0,0,0,0,0,0,0,170.956658112347,0,0,0,0,0,0,0,0,0.0311624389532324
0900200010561,0,0,17.1516642588434,0,26.021536631407,0,0,0,5.51945242303727,0,0,0,0,64.10874679213,0,0,0,0,0,0,0,0,0.0290288375017756
0900200011150,0,0,15.007706226488,0,3.29850464341779,0,0,0,0,0,0,0,0,32.054373396065,24.5473714379299,0,0,0,0,0,0,0,0.0108300063988221
0900200010491,0,0,2.85861070980723,0,22.7230319879892,35.2839571563089,0,0,44.1556193842981,0,0,0,0,128.21749358426,0,0,0,0,15.1667393957792,0,0,0,0.0229323098158385
0900200010487,0,0,15.7223589039398,0,17.5920247648949,211.703742937853,0,0,11.0389048460745,0,0,0,0,42.7391645280867,0,0,0,0,5.68752727341719,0,0,0,0.0241040246454241
0900200010773,0,0,37.161939227494,0,30.2973759839856,0,0,0,0,214.199714183637,0,0,0,0,0,0,0,0,0,0,0,0,0.0306973358718467
0900200010684,0,0,49.3110347441747,0,21.9900309561186,0,0,0,22.0778096921491,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0187391265500442
0900200011112,0,0,4.28791606471085,0,27.1210381792129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198061590894945
0900200010542,0,0,70.3218234612579,0,25.2152354963493,0,0,0,17.6622477537193,51.4079314040729,0,0,0,230.791488451668,0,0,0,0,0,0,0,0,0.018677811806464
0900200011146,0,0,0,0,7.3300103187062,0,0,0,0,0,0,0,0,576.97872112917,0,0,0,0,0,0,0,0,0.0125586586455533
090020001117A,0,0,14.2930535490362,0,5.86400825496496,0,154.20396090535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139612603892809
090020001003A,0,0,15.436497832959,0,11.1416156844334,42.3407485875706,46.2611882716049,0,0,0,0,0,0,128.21749358426,0,0,0,0,0,0,0,0,0.0186143779456253
0900200010025,0,0,0,0,33.7180474660485,0,0,0,0,0,0,0,0,384.65248075278,0,0,0,0,0,0,0,0,0.0161255828049925
0900200010044,0,486.266912442396,0,0,20.2308284796291,0,0,0,8.83112387685963,0,0,0,0,179.504491017964,0,0,715.874626865672,0,0,0,0,0,0.0221572531506734
090020001010A,0,419.957788018433,0,0,24.9220350836011,0,0,0,8.83112387685963,0,0,0,0,0,0,0,715.874626865672,0,2.27501090936688,0,0,0,0.0351078015937569
0900200010186,0,63.1515470704411,40.4289228958451,0,20.9428866248749,30.2433918482647,0,0,25.2317825053132,0,0,0,0,91.5839239887572,0,0,0,0,8.12503896202456,0,0,0,0.0208772081336573
0900200010260,0,198.927373271889,25.7274963882651,0,14.3668202246642,0,0,0,8.83112387685963,0,0,0,0,0,0,0,0,0,11.3750545468344,0,0,0,0.0232270471754443
0900200010699,0,0,11.4344428392289,0,34.6953821752094,0,0,0,0,0,0,0,0,213.695822640433,0,0,0,0,0,0,0,0,0.0234596510111434
090020001067A,0,0,15.436497832959,0,24.3356342581046,0,0,0,17.6622477537193,0,0,0,0,230.791488451668,0,0,0,0,4.55002181873375,0,0,0,0.0186715579732346
0900200010379,0,0,68.6066570353735,0,30.2973759839856,0,0,0,0,0,0,0,0,128.21749358426,0,0,0,0,0,0,0,0,0.0236592162442481
0900200010383,0,0,14.2930535490362,0,26.8767045019227,0,0,0,14.718539794766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257223574230167
0900200010148,0,0,10.7197901617771,0,39.5820557210135,0,0,24.1752016129032,0,0,0,0,0,0,0,0,0,0,8.53129091012579,0,0,0,0.0117765547593496
0900200010896,0,0,0,0,5.86400825496496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724897620443227
0900200010311,0,0,35.7326338725904,0,18.0806921194753,176.419785781544,0,0,14.718539794766,0,0,0,0,64.10874679213,0,0,0,0,5.68752727341719,0,0,0,0.0186188905358083
0900200010468,0,0,35.7326338725904,0,13.4383522509614,70.5679143126177,0,0,7.35926989738302,0,0,0,0,106.847911320217,0,0,0,0,1.8958424244724,0,0,0,0.0187501260089698
0900200010985,0,0,17.1516642588434,0,10.9950154780593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00960025636226583
0900200010843,0,0,51.4549927765302,0,37.1387189481114,0,0,0,0,0,0,0,0,427.391645280867,0,0,0,0,0,0,0,0,0.0272678705222487
0900200010970,0,0,5.71722141961446,0,43.9800619122372,0,0,0,0,0,0,0,0,0,0,0,4175.93532338308,0,0,0,0,0,0.021010280262368
0900200010167,0,0,34.3033285176868,0,20.5240288923774,0,0,0,5.51945242303727,0,0,0,0,0,0,0,0,0,8.53129091012579,0,0,0,0.0283788789499983
0900200011080,0,0,0,0,6.96350980277089,0,0,0,11.0389048460745,0,0,0,0,96.163120188195,0,0,0,0,5.68752727341719,0,0,0,0.00812201551866102
0900200010171,0,0,34.3033285176868,0,7.3300103187062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101458071561643
0900200011131,0,0,12.8637481941325,0,5.86400825496496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763407120993036
0900200010129,0,0,10.0051374843253,0,6.10834193225517,70.5679143126177,0,0,40.4759844356066,0,0,0,0,64.10874679213,0,0,0,0,18.958424244724,0,0,0,0.00629999230858796
090020001074A,0,0,4.28791606471085,0,49.8440701672022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238341642189806
0900200010398,0,0,34.3033285176868,0,22.478698310699,0,0,0,0,0,0,0,0,42.7391645280867,0,0,0,0,0,0,0,0,0.0241727028574225
0900200010557,0,0,25.7274963882651,0,37.1387189481114,0,0,0,0,0,0,0,0,128.21749358426,0,0,0,0,0,0,0,0,0.024600775817748
0900200010400,0,0,5.71722141961446,0,37.1387189481114,0,0,0,0,0,0,0,0,256.43498716852,0,0,0,0,0,0,0,0,0.0267756171466964
0900200010947,0,0,5.71722141961446,0,0.488667354580413,0,0,0,0,0,0,0,0,85.4783290561734,0,0,0,0,0,0,0,0,0.00670274191369186
0900200010858,0,0,61.7459913318362,0,12.3144173354264,0,0,0,4.41556193842981,334.151554126474,0,0,0,102.573994867408,0,0,0,0,0,0,0,0,0.025278103427814
0900300010145,0,0,23.5835383559097,0,26.021536631407,158.77780720339,0,0,0,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0174404179293432
0900300010431,0,0,7.14652677451808,0,16.3703563784438,0,0,0,95.6705086659793,0,0,0,0,726.565796977474,0,0,0,0,20.8542666691964,24.043350978505,0,0,0.0203015028807294
0900300010287,0,0,14.2930535490362,0,23.2116993425696,811.531014595104,0,0,84.6316038199048,0,0,0,0,0,0,0,0,0,51.1877454607547,72.1300529355149,0,0,0.0161953161627414
0900300010427,0,0,6.86066570353735,0,26.9744379728388,0,0,0,13.2466858152894,0,0,0,0,0,0,0,0,0,11.3750545468344,173.112127045236,0,0,0.0185360170511728
0900300010681,0,92.0960061443932,17.1516642588434,0,14.4156869601222,246.987700094162,0,0,47.8352543329896,0,0,0,0,0,0,0,0,0,7.58336969788959,0,0,0,0.0151293320724157
0900300010677,0,78.9394338380514,12.2511887563167,0,21.9900309561186,60.4867836965295,66.0874118165785,0,41.001646571134,0,0,0,0,0,0,0,0,0,60.1252883189818,0,0,0,0.0129754326565331
0900300010484,0,63.1515470704411,17.1516642588434,0,4.39800619122372,0,231.305941358025,0,0,0,0,0,0,164.851063179763,0,0,0,0,22.7501090936688,0,638.221205024484,0,0.0264200967994368
0900300010728,0,13.814400921659,4.28791606471085,0,4.21475593325607,0,491.525125385802,0,182.14192996023,0,0,0,0,144.244680282293,0,0,223.710820895522,0,1.4218818183543,0,0,0,0.0198212047029202
0900300011675,0,0,13.7213314070747,0,23.1628326071116,0,508.873070987654,0,13.2466858152894,745.415005359057,0,0,0,0,0,0,0,0,0,0,0,0,0.0220406458210568
0900300010889,0,0,10.290998555306,0,18.4716260031396,0,0,0,4.41556193842981,0,0,0,0,384.65248075278,0,0,0,0,11.3750545468344,0,0,0,0.0251647805397204
090030001143A,0,128.934408602151,0,0,20.5240288923774,0,732.468814300412,0,3.67963494869151,0,0,0,0,64.10874679213,0,0,0,0,5.68752727341719,0,0,0,0.0155632551355175
0900300011482,0,265.236497695853,0,0,7.03680990595795,0,0,0,17.6622477537193,0,0,0,0,0,0,0,4295.24776119403,0,22.7501090936688,0,0,0,0.0278998657614773
0900300011410,0,0,20.0102749686506,0,17.1033574103145,0,501.162872942387,0,25.7574446408406,21.4199714183637,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.00923131021351538
0900300011143,0,147.353609831029,8.57583212942169,0,5.37534090038455,0,0,0,3.67963494869151,0,0,0,0,0,0,0,0,0,1.8958424244724,0,148.91828117238,0,0.0295264771019604
0900300011139,0,96.7008064516129,3.21593704853314,0,4.21475593325607,0,202.392698688272,0,2.75972621151863,0,0,0,0,0,0,0,671.132462686567,0,7.10940909177149,0,223.377421758569,0,0.0244831732710746
0900300010465,0,0,17.1516642588434,0,20.5240288923774,0,370.089506172839,0,4.41556193842981,0,0,0,0,0,0,0,0,0,4.55002181873375,0,0,0,0.0218677902033175
090030001168A,0,0,5.14549927765302,0,5.57080784221671,0,1202.79089506173,0,4.41556193842981,0,0,0,0,102.573994867408,0,0,0,0,0,0,0,0,0.00939963024363623
0900300010836,0,0,0,0,73.300103187062,0,0,0,11.0389048460745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254010561806547
0900300010022,0,0,17.1516642588434,0,21.6235304401833,0,0,0,0,321.299571275455,0,0,0,32.054373396065,0,0,0,0,0,0,0,0,0.0216330203369196
0900300011336,0,31.5757735352205,0,0,3.35086185997998,0,462.611882716049,0,3.15397281316415,0,0,0,0,54.9503543932543,0,0,0,0,43.8752103949326,0,127.644241004897,0,0.0223080180592017
0900300011389,0,88.4121658986175,30.8729956659181,0,27.5608387983353,0,601.395447530864,0,0,0,0,0,0,0,0,0,0,0,4.55002181873375,0,0,0,0.0435456975044984
090030001008A,0,0,0,0,39.5820557210135,0,0,0,0,85.6798856734548,0,0,0,427.391645280867,0,0,0,0,0,0,0,0,0.0254803864957927
0900300010041,0,0,8.57583212942169,0,21.4036301306221,42.3407485875706,0,0,0,642.599142550911,0,0,0,0,0,0,0,0,4.55002181873375,0,0,0,0.0181117575991107
0900300010037,0,0,0,0,28.342706565664,0,0,0,0,214.199714183637,0,0,0,0,0,0,0,0,7.58336969788959,0,0,0,0.0176994069893999
0900300010215,0,0,1.71516642588434,0,29.3200412748248,0,0,0,4.41556193842981,0,0,0,0,76.930496150556,0,0,0,0,6.82503272810063,0,0,0,0.0202801442005467
090030001054A,0,41.443202764977,12.8637481941325,0,7.14676006073855,0,0,0,2.75972621151863,48.1949356913183,0,0,0,176.299053678358,0,0,223.710820895522,0,7.10940909177149,0,0,0,0.0210837889230524
0900300010412,0,78.9394338380514,1.22511887563167,0,3.97914845872622,0,0,0,3.15397281316415,0,0,0,0,54.9503543932543,0,0,255.669509594883,0,4.87502337721474,0,0,0,0.0184315449423422
0900300010408,0,22.1030414746544,3.43033285176868,0,2.34560330198598,0,0,0,0,0,0,0,0,179.504491017964,0,0,0,0,6.82503272810063,0,0,0,0.00931493987837079
0900300010380,0,22.1030414746544,10.290998555306,0,2.05240288923774,0,0,0,0,0,0,0,0,51.286997433704,0,0,0,0,36.40017454987,0,0,0,0.0114182319458174
0900300010361,0,0,2.85861070980723,0,26.8767045019227,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1667393957792,0,0,0,0.0212058619505054
0900300010376,0,0,0,0,0.977334709160827,0,0,0,0,0,0,0,0,42.7391645280867,0,0,0,0,34.1251636405032,0,0,0,0.0156498669354312
0900300010395,0,110.515207373272,4.28791606471085,0,2.19900309561186,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0173624548644823
0900300011105,0,0,34.3033285176868,713.744047619048,24.9220350836011,0,0,0,4.41556193842981,0,0,0,0,0,0,0,0,0,6.82503272810063,0,0,0,0.0111451836977962
0900300011529,0,0,32.5881620918024,312.263020833333,7.9164111442027,0,46.2611882716049,0,0,0,0,0,0,0,0,0,0,0,18.200087274935,0,0,0,0.0141795987376139
0900300011571,0,0,2.85861070980723,0,8.30734502786703,0,0,0,0,0,0,0,0,0,0,0,0,0,37.916848489448,0,0,0,0.0104809187184073
0900300011548,0,0,8.57583212942169,0,0,0,0,0,29.4370795895321,0,0,0,0,0,0,0,0,0,11.3750545468344,0,0,0,0.0195860913298141
0900300011783,0,27.628801843318,0,278.80626860119,3.29850464341779,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3750545468344,0,0,0,0.00345930716451023
0900300011798,0,0,0,297.393353174603,2.93200412748248,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7916848489448,0,0,0,0.0032348084786743
0900300011586,0,110.515207373272,0,0,5.37534090038455,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3334787915584,0,0,0,0.0196280258135795
0900300011567,0,0,10.7197901617771,0,1.46600206374124,105.851871468927,0,0,0,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0133042275716228
0900300011552,0,0,2.14395803235542,0,1.83250257967655,158.77780720339,0,0,0,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.00912272076394322
0900300010554,0,0,7.35071325379002,0,12.9845897074224,0,0,0,6.3079456263283,55.0799265043638,0,0,0,36.6335695955029,0,0,0,0,22.7501090936688,0,510.576964019587,0,0.0220982688157791
090030001061A,0,0,44.5943270729928,0,29.9064421003213,84.6814971751413,0,0,101.557924583886,0,0,0,0,0,0,0,0,0,77.3503709184738,0,0,0,0.0231854406103718
0900300011158,0,0,1.71516642588434,0,28.7336404493283,0,0,0,97.1423626454559,0,0,0,0,820.591958939264,0,0,0,0,63.7003054622726,0,0,0,0.0217282999154641
0900300010272,0,0,8.57583212942169,0,39.9485562369488,0,0,0,27.5972621151863,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0185703060647624
0900300010126,0,0,30.0154124529759,0,31.1525438545014,0,0,0,16.5583572691118,0,0,0,0,0,0,0,0,0,19.9063454569602,0,0,0,0.0187565483050802
0900300010018,0,0,33.0782096420551,0,9.21487011494494,30.2433918482647,0,0,3.15397281316415,73.4399020058184,0,0,0,0,0,0,255.669509594883,0,1.62500779240491,0,0,0,0.00782919267988974
0900300010268,0,0,55.742908841241,0,49.1110691353315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261285489133122
0900300011124,0,73.6768049155146,29.5389773346747,99.1311177248677,17.4291356467014,211.703742937853,488.312542866941,0,14.718539794766,0,0,0,0,0,0,0,0,0,31.5973737412066,32.0578013046733,0,0,0.011580295293813
0900300011425,0,0,46.3094934988771,0,32.8384462278038,0,185.04475308642,0,66.2334290764472,0,0,0,0,0,0,0,0,0,45.5002181873375,0,0,0,0.0269774470672784
090030001022A,0,0,8.57583212942169,0,13.1940185736712,0,231.305941358025,0,37.8476737579698,0,0,0,0,183.167847977514,0,0,0,0,26.0001246784786,20.6085865530043,0,0,0.012542983603068
0900300010357,0,0,20.0102749686506,0,12.2166838645103,35.2839571563089,231.305941358025,0,66.2334290764472,0,0,0,0,0,0,0,0,0,20.8542666691964,0,0,0,0.020990952503363
0900300011622,0,110.515207373272,0,0,10.2620144461887,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5417939426136,0,0,0,0.0147456525854504
0900300010982,0,0,2.85861070980723,0,51.3100722309434,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58336969788959,0,0,0,0.0210272565468528
0900300011444,0,0,0,0,8.79601238244744,0,277.56712962963,0,83.8956768301664,0,0,0,0,51.286997433704,0,0,0,0,11.3750545468344,0,0,0,0.00822795393417327
0900300011459,0,27.628801843318,0,0,8.42951186651213,0,289.132426697531,0,0,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0195303470015054
090030001093A,0,142.090980908492,1.22511887563167,0,8.58658351619869,0,132.174823633157,0,3.15397281316415,0,0,0,0,54.9503543932543,0,0,0,0,17.875085716454,0,0,0,0.0203673841938233
