IMU,platform,station,stop_area,stop_position,yes
-1.202556517,NA,NA,NA,NA,NA
-1.249548686,NA,NA,NA,NA,NA
-0.754710486,0,0,0,1.57635467980296,0
-0.436430959,NA,NA,NA,NA,NA
-0.617876671,NA,NA,NA,NA,NA
-1.297916407,NA,NA,NA,NA,NA
-1.219464531,4.1025641025641,0,0,1.57635467980296,0
-1.151700346,NA,NA,NA,NA,NA
-1.300399129,6.15384615384615,0,0,2.36453201970443,0
-0.635558516,0,4.32432432432432,0,1.57635467980296,0
-0.706457587,NA,NA,NA,NA,NA
-0.495348268,2.05128205128205,0,0,0.788177339901478,0
-0.118952449,NA,NA,NA,NA,NA
-1.048388895,NA,NA,NA,NA,NA
-0.5553239,NA,NA,NA,NA,NA
-1.385600213,NA,NA,NA,NA,NA
-1.25969693,NA,NA,NA,NA,NA
-1.206742975,NA,NA,NA,NA,NA
-1.385893184,NA,NA,NA,NA,NA
-1.295421668,NA,NA,NA,NA,NA
-1.262008238,NA,NA,NA,NA,NA
-1.236373002,NA,NA,NA,NA,NA
-1.157941523,NA,NA,NA,NA,NA
-1.207679376,NA,NA,NA,NA,NA
-1.151667191,NA,NA,NA,NA,NA
-1.185506144,NA,NA,NA,NA,NA
-0.615449119,NA,NA,NA,NA,NA
-0.460774826,NA,NA,NA,NA,NA
-0.302382206,NA,NA,NA,NA,NA
-1.050333118,NA,NA,NA,NA,NA
-1.103697674,NA,NA,NA,NA,NA
-1.128762849,10.2564102564103,0,0,3.94088669950739,0
-1.07388745,NA,NA,NA,NA,NA
0.237539953,NA,NA,NA,NA,NA
-1.098234458,6.15384615384615,0,0,2.36453201970443,0
-1.221696752,NA,NA,NA,NA,NA
-1.469805107,NA,NA,NA,NA,NA
-0.652157691,NA,NA,NA,NA,NA
-0.309836523,NA,NA,NA,NA,NA
-1.069837229,4.1025641025641,0,0,1.57635467980296,0
-1.274868133,NA,NA,NA,NA,NA
-1.193688018,NA,NA,NA,NA,NA
-0.682426194,NA,NA,NA,NA,NA
-0.670652578,NA,NA,NA,NA,NA
-1.13221469,NA,NA,NA,NA,NA
-1.13494003,NA,NA,NA,NA,NA
-1.001514337,NA,NA,NA,NA,NA
-0.985489442,NA,NA,NA,NA,NA
-1.103231566,NA,NA,NA,NA,NA
