id,lat,lon,public_transport
3012194267,19.3469409,-99.179951,platform
3012207335,19.3452549,-99.1495364,stop_position
3012207336,19.3497992,-99.1507986,stop_position
3012207337,19.3548939,-99.1522492,stop_position
3012207338,19.3568298,-99.1528285,stop_position
3012225277,19.3416564,-99.1415911,stop_position
3012225278,19.3423801,-99.147467,stop_position
3012225279,19.3459304,-99.1498618,stop_position
3012225280,19.3517707,-99.1515231,stop_position
3012225281,19.3552593,-99.1525236,stop_position
3012285975,19.3463905,-99.1776055,stop_position
3012285976,19.3468796,-99.1799762,stop_position
3012286646,19.3446954,-99.1637442,stop_position
3012286647,19.3447736,-99.1643291,stop_position
3012286648,19.3451284,-99.1673423,stop_position
3012286649,19.3454239,-99.1698118,stop_position
3012286650,19.345878,-99.173607,stop_position
3012291817,19.3377012,-99.183581,stop_position
3012291818,19.3392974,-99.1823095,stop_position
3012291819,19.342088,-99.1817065,stop_position
3012291820,19.3436523,-99.1813923,stop_position
3012324503,19.3358142,-99.1905366,stop_position
3012324504,19.3358167,-99.1904993,platform
3012324506,19.3361241,-99.1905872,stop_position
3012413408,19.3369054,-99.1873217,stop_position
3012413409,19.3370099,-99.1860834,stop_position
3012413410,19.3393992,-99.1821324,stop_position
3012413411,19.3417727,-99.1816364,stop_position
3012413412,19.3426219,-99.1492332,stop_position
3012413413,19.3429694,-99.1517076,stop_position
3012413414,19.3433289,-99.1542858,stop_position
3012413415,19.3435918,-99.1562211,stop_position
3012413416,19.3440048,-99.1595377,stop_position
3012413417,19.3450612,-99.1679761,stop_position
3012413418,19.3455107,-99.1719295,stop_position
3012413419,19.345696,-99.1736532,stop_position
3012413420,19.3461641,-99.1771704,stop_position
3012413421,19.3465798,-99.1806746,stop_position
3016227374,19.3412841,-99.1391724,platform
3016227375,19.341304,-99.1391703,stop_position
3016233081,19.3402678,-99.1330741,platform
3016233082,19.3403171,-99.133057,stop_position
3016233083,19.3406619,-99.1346131,platform
3016233084,19.3407392,-99.134612,stop_position
3016233085,19.3408687,-99.1361973,platform
3016233086,19.3409401,-99.1361881,stop_position
3016233087,19.3411521,-99.1382322,platform
3016233088,19.3411817,-99.1382302,stop_position
3016237281,19.3371975,-99.1202672,platform
3016237282,19.3375567,-99.1231549,platform
3016237283,19.3376093,-99.1231448,stop_position
3016237284,19.3378624,-99.1244378,platform
3016237285,19.3378987,-99.1244299,stop_position
3016237286,19.3382905,-99.1262411,platform
3016237287,19.3383511,-99.1262239,stop_position
3016237288,19.3395408,-99.1304847,platform
3016237289,19.3395842,-99.1304773,stop_position
3016248618,19.3375803,-99.1222933,stop_position
3016248619,19.3376427,-99.1222699,platform
3016248620,19.3379255,-99.123818,stop_position
3016248621,19.3379983,-99.1238014,platform
3016248622,19.3386183,-99.1265943,stop_position
3016248623,19.3387157,-99.1265448,platform
3016248624,19.3393851,-99.129167,stop_position
3016248625,19.3394652,-99.1291377,platform
3016248627,19.3410472,-99.1345224,platform
3016464458,19.3408028,-99.1434188,station
3016544532,19.3357508,-99.1418589,station
3021939899,19.3316668,-99.1405977,station
3021948067,19.3274803,-99.1392952,station
3021958260,19.3238035,-99.1381552,station
3021967669,19.317876,-99.1388101,station
3027360342,19.2645898,-99.1190618,stop_position
3029539776,19.5056336,-99.2007762,platform
3029539777,19.5056524,-99.2008488,stop_position
3171508710,19.3256359,-99.1819841,stop_position
3275515943,19.4246695,-99.132913,stop_position
3397180166,19.4250717,-99.1536949,station
3397180167,19.4111123,-99.1548379,station
3397180168,19.3966729,-99.1559216,station
3397180169,19.4205019,-99.154042,station
3397180170,19.4010001,-99.155586,station
3397188237,19.3966729,-99.1559216,station
3397188238,19.4205042,-99.1540671,station
3416442888,19.4280975,-99.1487681,platform
3442137741,19.4256202,-99.193027,station
3755590704,19.3346545,-99.189166,stop_position
3761143341,19.3915287,-99.1861937,station
3761143637,19.3915084,-99.1855258,station
3761146950,19.4204849,-99.1781096,station
3761148308,19.4222489,-99.1709677,station
3761149771,19.4334274,-99.1915755,station
3761158232,19.4201504,-99.1769474,station
3761174023,19.384944,-99.1870882,station
3761175695,19.4261638,-99.1928813,station
3761178405,19.4337418,-99.1913341,station
3762242173,19.3080826,-99.1801509,stop_position
4013921240,19.3726745,-99.2592166,platform
4013921241,19.3727073,-99.2592589,stop_position
4013921242,19.3745318,-99.257423,platform
4013921243,19.3756969,-99.2554527,platform
4013921244,19.3757268,-99.2554814,stop_position
4013921245,19.3763037,-99.254192,platform
4013921246,19.3763279,-99.2542086,stop_position
4013921247,19.3771996,-99.2525991,platform
4013921258,19.3782606,-99.2493727,platform
4013921259,19.3782877,-99.2493787,stop_position
4062210341,19.2789704,-99.6593475,platform
4226095800,19.3196637,-99.6307153,stop_position
