ac,dist,lci,uci
0.867728550493165,0,0.00119821217069578,0.0611026127688982
0.568273750408072,0.5,-0.0377002255247879,0.0265229754864552
0.354852123453413,1,-0.0339331211128927,0.0279727953720661
0.265759880972688,1.5,-0.0296100356811969,0.0391269328023122
0.164990573870326,2,-0.0350008723568131,0.0280003947218393
0.0967310316245297,2.5,-0.0318156259041995,0.0198852724471633
0.111860140460031,3,-0.0346967559917606,0.0256338827539905
0.0768681622066452,3.5,-0.0358352919191353,0.0277901320781815
0.0884749943508909,4,-0.0308787289493434,0.0256142358467948
0.0774947563015961,4.5,-0.0316113393722481,0.0258406944289222
0.0343358244086846,5,-0.0299716891069699,0.0305923113615961
-0.05354172893994,5.5,-0.0385055061600863,0.0321752328182036
-0.142032007940466,6,-0.0406974517863787,0.0301798001031091
-0.124014373671897,6.5,-0.0360771217341703,0.0383262944910859
-0.102437301023349,7,-0.0369110033309607,0.0235123732633876
-0.199104598065186,7.5,-0.0319769807371529,0.0273450464778
-0.251939964624442,8,-0.0269600622860063,0.0296159094333569
-0.232832290889556,8.5,-0.0269275499451627,0.0294643495955309
-0.225066270101366,9,-0.0242285903961692,0.0246135864901478
-0.168206587426815,9.5,-0.0216236665358779,0.0362301954163153
-0.130736541901471,10,-0.0253221488813217,0.02634792438259
-0.185859611201279,10.5,-0.0269974723495189,0.0226764036988879
-0.209866139410458,11,-0.0232612995793938,0.0276929832091911
-0.147891285725781,11.5,-0.0246156972881588,0.0218912876975904
-0.0934725288034818,12,-0.0257399335910267,0.0209711591087854
-0.103560456284808,12.5,-0.0238617470410928,0.0206971669225211
-0.0823128302000337,13,-0.0219706024080011,0.020520320668031
-0.0514004306469248,13.5,-0.0228429705998398,0.0256050312135161
-0.0248042975756909,14,-0.0176960381525706,0.0279252672731645
-0.0238660518651368,14.5,-0.0227338775900469,0.0245518363693305
-0.0220445817737318,15,-0.0208763632489959,0.0217955682970938
-0.0235057129263875,15.5,-0.0228348423059477,0.022064762569755
-0.0388028309909652,16,-0.0245281853601092,0.0174205197390299
-0.0560775319845718,16.5,-0.0223097910052327,0.0256828512332082
-0.061640359604482,17,-0.0264331904521413,0.0268180826667264
-0.0425143714922652,17.5,-0.0297837817689872,0.0201210800351267
-0.0240514376497502,18,-0.0278956135269241,0.0194819772015527
-0.0188911298213577,18.5,-0.0286824847627771,0.0195128335204372
NA,19,-0.0247571436143616,0.0185061038389154
