ac,dist,lci,uci
0.834591567039084,0,0.0383031813543573,0.0997869199105472
0.688982707059387,2,-0.0394241674033577,0.0293626461187548
0.606047778101079,4,-0.0362297626135495,0.033577305519776
0.550744093009427,6,-0.0408998911935777,0.0322327376558167
0.480134114911638,8,-0.0326353566012325,0.0355040527820801
0.438364177030737,10,-0.0454589904969517,0.032636574375433
0.360846283318195,12,-0.0367405516061041,0.0274324338558207
0.270624864466389,14,-0.0366442331463662,0.0302775498573914
0.180909560724228,16,-0.040834049053097,0.0318951558225469
0.0183026830592112,18,-0.0391074001106078,0.0318529683198037
-0.131071126254221,20,-0.0311050263742422,0.02870982227456
-0.206622573509547,22,-0.0331310656846354,0.0293946576560279
-0.267803921086794,24,-0.0332298872124388,0.0343004407582845
-0.299759087488525,26,-0.0397495568649084,0.0380330856064842
-0.292587859729771,28,-0.0327762677329996,0.0295453226521679
-0.277777697975413,30,-0.0454050024061995,0.0252704658959374
-0.266070690694265,32,-0.033983758212705,0.0365363597882569
-0.268064573873956,34,-0.0344629524774844,0.0269279027428116
-0.328622708004451,36,-0.0282124375787577,0.0307815869595939
-0.343305349927404,38,-0.0360567813029731,0.0243692802092567
-0.370879276511585,40,-0.0321439185125979,0.0279273427313123
-0.399268410310684,42,-0.0315430688782437,0.0314279494158481
-0.368560154090275,44,-0.034821558455723,0.0319090450871718
-0.353318025923647,46,-0.0277279733695417,0.0283386108011886
-0.34246301695412,48,-0.0279202014570272,0.0313397970983666
-0.333852406798759,50,-0.031769392044464,0.0270285551112376
-0.279881312282398,52,-0.0264524937948179,0.0254569363433225
-0.221551419931988,54,-0.0285045618653719,0.0254093175396716
-0.225364328023944,56,-0.0235437271268494,0.0224357486397924
-0.243969674993655,58,-0.0278037825398645,0.022585998905026
-0.230964599143276,60,-0.0277338226561202,0.0257140605066394
-0.20363424906666,62,-0.0291865951728593,0.0246231864186046
-0.175951590748176,64,-0.0341849709713488,0.0265672857432889
-0.103492441375896,66,-0.0270656363864654,0.0286176896985702
-0.0397112376799039,68,-0.0281927418043366,0.0212974088634904
-0.0470147919914656,70,-0.0258130218427592,0.0236058133034428
-0.0347945581114287,72,-0.0252919560250757,0.0251248948969006
-0.0123023871990623,74,-0.036647383541517,0.0190245890862744
-0.00550980688542926,76,-0.0259418411860057,0.0215256355894253
0.0117178631822378,78,-0.0256772679981341,0.0215384068037668
0.0120300520879726,80,-0.0262469754568206,0.0215543826371028
0.0719316922517274,82,-0.0269261678266286,0.0227225951917419
0.0888417144983147,84,-0.0381114784875625,0.0264838783377959
0.133563782384753,86,-0.0329740063310331,0.0203996076256685
0.134877624122049,88,-0.0229676345400264,0.0244471048827505
0.174033968835969,90,-0.0291752405316272,0.023408332439491
0.158402682099129,92,-0.0263956476060414,0.0288861345308643
0.138302260833109,94,-0.0260904963206413,0.0252539572768399
0.121108552885312,96,-0.0238499240639711,0.0193177887656545
0.0912913697761477,98,-0.0296375588950126,0.0261863281780873
0.0903793141202564,100,-0.0268488729474784,0.0243431300251288
0.0974281550847165,102,-0.0286143972159256,0.0249724166262622
0.0977191788890193,104,-0.0338803273678985,0.0299365373621779
0.0989056965852705,106,-0.0257781831018723,0.0328918916749228
0.0835925099273519,108,-0.0341218167483306,0.028121941261963
0.043779152391418,110,-0.0249858116203902,0.0231825041060063
0.0178105970021607,112,-0.0237008070625993,0.0233429581606221
0.00359548240411406,114,-0.030494286312631,0.0212568521824663
