ac,dist,lci,uci
0.875775195776416,0,0.172543706057143,0.217446073929178
0.716587066820308,0.5,0.070270154431401,0.125677848618224
0.588384064485607,1,0.0470382734676971,0.0941821742309312
0.505464661888353,1.5,0.0243993526290276,0.0766434978408701
0.440567629234189,2,0.0144252475172051,0.0637632742863657
0.386704812871885,2.5,0.00409490598654134,0.0595890784273146
0.353777906941951,3,0.000668169709586741,0.0512650989035252
0.325366768775318,3.5,-0.00828627188858384,0.0486143889318817
0.310598222089685,4,-0.00900562917717038,0.0430865690836884
0.302202212534087,4.5,-0.0103327173404455,0.0405625239763607
0.29302749369538,5,-0.0197638713573916,0.0380122519223799
0.279509995207821,5.5,-0.0145893216454068,0.0378158067582654
0.259402427655108,6,-0.0208952046191607,0.0362533886129225
0.244872607302962,6.5,-0.0210092648440889,0.0356459783599203
0.239499591140887,7,-0.0189378012853491,0.0371769499126103
0.217440820138323,7.5,-0.0298532401192503,0.0412502491712872
0.185619679589732,8,-0.0272707591795868,0.0352299936769163
0.157371934339514,8.5,-0.0336232080307571,0.0324520686931652
0.129619694158762,9,-0.0339680588857619,0.0337813158137222
0.104020825003661,9.5,-0.031475733753548,0.0319442579963851
0.0871856963273707,10,-0.0298061486660197,0.0302876367824765
0.0511812323736503,10.5,-0.0276030247505524,0.0310480799742109
-0.00636661763832052,11,-0.02987339231344,0.0345886081818054
-0.0488718428170134,11.5,-0.0313840223342446,0.0323540895574061
-0.073673654749326,12,-0.0319513494882712,0.031156389978194
-0.0926932119412601,12.5,-0.032612942084973,0.0295100915692797
-0.10240311063477,13,-0.030472471047732,0.0308460016975694
-0.102086985988766,13.5,-0.0337060337940349,0.0331354639869613
-0.0975754013344234,14,-0.0328162320502108,0.0344422106387595
-0.0970874091892126,14.5,-0.0347725065585198,0.0269946906238003
-0.092269418586143,15,-0.0296011701807674,0.0363472417132886
-0.0699198336238787,15.5,-0.0288178952239684,0.0301631258329537
-0.0518346788405243,16,-0.0323992142794608,0.0326945896854869
-0.0467528453140734,16.5,-0.0299256026308231,0.0290366737700058
-0.0435752475381922,17,-0.0308329800316114,0.0272940942364325
-0.0453291632942216,17.5,-0.0294672364881871,0.0278049586032512
-0.0357491191603528,18,-0.0276735853854744,0.0232892581143279
-0.0286191182085549,18.5,-0.0264752109846238,0.023840709132884
