13875758,82081835,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,7,4.5,2,1.00,1.00,29,0,1,2016-08-13 09:45:37.904935,19.435131,-99.206239,1,0101000020E6100000390A100533CD58C0CC79C6BE646F3340
5577961,8749095,Private room,Mexico,Colonia 8 de Agosto,Colonia 8 de Agost,Colonia 8 de Agost,4,5,2,1.00,1.00,12,0,1,2016-08-12 12:27:59.352103,19.391740,-99.186646,1,0101000020E6100000787B1002F2CB58C0F888981249643340
13547861,71399323,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,2,,2,1.00,1.00,31,0,1,2016-08-12 13:21:36.214326,19.413410,-99.157482,1,0101000020E61000005BED612F14CA58C0E0D6DD3CD5693340
11239328,12222686,Private room,Mexico,Polanco Chapultepec,Polanco Chapultepe,Polanco Chapultepe,9,5,2,1.00,1.00,41,0,1,2016-08-12 14:39:22.147081,19.430122,-99.197153,1,0101000020E6100000BBD39D279ECC58C0454AB3791C6E3340
4909687,6248044,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,9,4,3,1.00,4.00,11,0,1,2016-08-12 11:08:51.128808,19.411398,-99.142777,1,0101000020E6100000BE67244223C958C0CAA31B6151693340
11929527,59515368,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,7,4.5,2,1.00,2.00,14,0,1,2016-08-12 14:56:40.202127,19.420971,-99.151057,1,0101000020E61000003DB5FAEAAAC958C07E9065C1C46B3340
13298321,47145810,Private room,Mexico,Colonia Juárez,Colonia Juáre,Colonia Juáre,6,5,2,1.00,1.00,23,0,1,2016-08-12 15:58:22.509211,19.428509,-99.155960,1,0101000020E6100000FCDEA63FFBC958C0AA0A0DC4B26D3340
12830061,60921309,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,5,5,1,1.00,1.00,14,0,1,2016-08-12 16:24:32.707154,19.406051,-99.183342,1,0101000020E6100000ED7E15E0BBCB58C0138255F5F2673340
326296,1664327,Private room,Mexico,Mexico City,Mexico Cit,Mexico Cit,49,4.5,2,1.00,,19,0,2,2016-08-12 17:04:58.882231,19.340035,-99.182726,1,0101000020E6100000408864C8B1CB58C0D07EA4880C573340
1469949,7871008,Private room,Mexico,Mexico City,Mexico Cit,Mexico Cit,10,5,1,1.00,1.00,26,0,3,2016-08-12 17:37:49.042462,19.410673,-99.171515,1,0101000020E610000080F10C1AFACA58C0A759A0DD21693340
11318132,30358318,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,16,5,2,1.00,1.00,26,0,1,2016-08-12 17:45:59.254809,19.403960,-99.170306,1,0101000020E61000000114234BE6CA58C065E42CEC69673340
5271971,27290490,Private room,Mexico,Colonia Juárez,Colonia Juáre,Colonia Juáre,28,5,2,1.00,2.00,26,0,3,2016-08-12 18:11:09.647597,19.428690,-99.160724,1,0101000020E6100000ABEB504D49CA58C04B1FBAA0BE6D3340
6325960,32911469,Private room,Mexico,Ciudad de México,Ciudad de Méxic,Ciudad de Méxic,17,5,2,1.00,1.00,20,0,2,2016-08-12 18:46:45.403813,19.353716,-99.155217,1,0101000020E610000020B24813EFC958C06A12BC218D5A3340
