room_id,room_type,city,price,latitude,longitude
13047518,Private room,Ejido del Centro,16.0,19.430409,-99.147454
9372893,Private room,Ciudad de México,25.0,19.424954,-99.154339
8291981,Private room,Mexico City,11.0,19.435463,-99.14639
13328866,Private room,Mexico City,12.0,19.392877,-99.159676
13187284,Private room,Ciudad de México,10.0,19.402365,-99.153333
1832012,Private room,Mexico City,18.0,19.439141,-99.142159
12814044,Private room,Ciudad de México,34.0,19.43273,-99.145049
4559409,Private room,Ciudad de México,28.0,19.409041,-99.171052
12408254,Private room,Ciudad de México,21.0,19.407772,-99.180496
7094188,Private room,Ciudad de México,11.0,19.3892,-99.168462
13657263,Private room,Ciudad de México,40.0,19.422887,-99.136836
744821,Private room,Juárez,33.0,19.427147,-99.162721
12211303,Private room,Ciudad de México,14.0,19.426943,-99.138947
7482050,Private room,Miguel Hidalgo,34.0,19.431892,-99.182224
7544493,Private room,Ciudad de México,14.0,19.408532,-99.110032
13639751,Private room,Ciudad de México,40.0,19.422714,-99.13667
11442386,Private room,Ciudad de México,41.0,19.418931,-99.214215
12128790,Private room,Ciudad de México,45.0,19.36179,-99.16149
13782780,Private room,Ciudad de México,13.0,19.39471,-99.13832
8253601,Private room,Ciudad de México,36.0,19.354839,-99.194186
10681159,Private room,Ciudad de México,18.0,19.448842,-99.107165
9343874,Private room,Ciudad de México,26.0,19.381087,-99.180859
11894757,Private room,Mexico City,96.0,19.353003,-99.165047
5783165,Private room,Ciudad de México,21.0,19.359695,-99.192693
8721601,Private room,Ciudad de México,26.0,19.427822,-99.134177
12904365,Private room,Ciudad de México,24.0,19.348498,-99.162869
8113829,Private room,Ciudad de México,23.0,19.401564,-99.140484
12987817,Private room,Ciudad de México,21.0,19.433732,-99.133533
6491970,Private room,Mexico City,34.0,19.358279,-99.188733
13291322,Private room,Ciudad de México,16.0,19.346232,-99.158402
6711680,Private room,Ciudad de México,26.0,19.384836,-99.176952
6713478,Private room,Ciudad de México,73.0,19.347236,-99.162882
9613172,Private room,Ciudad de México,11.0,19.357086,-99.153113
9319198,Private room,Ciudad de México,21.0,19.380693,-99.17937
12095954,Private room,Ciudad de México,18.0,19.398925,-99.144462
14341899,Private room,Coyoacán,45.0,19.353396,-99.167093
992784,Private room,Mexico City,14.0,19.437636,-99.136092
13799007,Private room,Ciudad de México,14.0,19.352806,-99.158044
9736959,Private room,Ciudad de México,45.0,19.383716,-99.178253
9093391,Private room,Ciudad de México,26.0,19.441019,-99.150664
6973165,Private room,Ciudad de México,14.0,19.381154,-99.182339
13768088,Private room,Ciudad de México,20.0,19.398109,-99.145578
1104450,Private room,Mexico City,36.0,19.385245,-99.17836
2664537,Private room,Mexico City,45.0,19.358297,-99.186267
9128046,Private room,Mexico City,9.0,19.444834,-99.150926
11891097,Private room,Mexico City,96.0,19.35249,-99.165054
12628344,Private room,Mexico City,16.0,19.426526,-99.139078
6332452,Private room,México,21.0,19.396193,-99.141602
14106137,Private room,Ciudad de México,103.0,19.349297,-99.176758
12602882,Private room,Ciudad de México,19.0,19.429846,-99.176824
5069849,Private room,Ciudad de México,31.0,19.350032,-99.196477
7618555,Private room,DF,20.0,19.357752,-99.187755
14220508,Private room,Ciudad de México,77.0,19.361126,-99.18716
5831714,Private room,México df ,48.0,19.425107,-99.177746
7475352,Private room,Ciudad de México,31.0,19.412729,-99.182509
4642549,Private room,Coyoacan ,45.0,19.347433,-99.163803
7359064,Private room,Mexico City,73.0,19.431222,-99.176993
12467073,Private room,Ciudad de México,56.0,19.363032,-99.174046
7455240,Private room,Ciudad de México,36.0,19.425631,-99.17693
11759201,Private room,Ciudad de México,31.0,19.433747,-99.179038
14187621,Private room,Ciudad de México,11.0,19.368324,-99.178406
11572635,Private room,Ciudad de México,18.0,19.430318,-99.173498
5114645,Private room,Ciudad de México,45.0,19.426907,-99.177861
2711101,Private room,Mexico City,22.0,19.363664,-99.173226
13672423,Private room,Ciudad de México,57.0,19.425176,-99.17718
7817608,Private room,Ciudad de México,39.0,19.425687,-99.1787
5652229,Private room,Ciudad de México,26.0,19.348734,-99.162522
7363270,Private room,Mexico City,64.0,19.431673,-99.177624
9298845,Private room,Ciudad de México,28.0,19.437322,-99.183622
13243273,Private room,Ciudad de México,46.0,19.434909,-99.181056
7359275,Private room,Mexico City,64.0,19.432712,-99.177812
7791225,Private room,Mexico City,39.0,19.435772,-99.179824
6075076,Private room,Ciudad de México,36.0,19.42526,-99.176703
13731336,Private room,Ciudad de México,19.0,19.380625,-99.140711
1429120,Private room,Mexico City,13.0,19.368907,-99.180095
10162960,Private room,De los Deportes,26.0,19.38101,-99.182162
12538814,Private room,Ciudad de México,124.0,19.350167,-99.175556
6969861,Private room,Ciudad de México,16.0,19.351649,-99.151827
7358839,Private room,Ciudad de México,70.0,19.431825,-99.178794
2988520,Private room,Mexico City,280.0,19.426929,-99.177304
7708414,Private room,Ciudad de México,23.0,19.429689,-99.17526
11711533,Private room,Ciudad de México,23.0,19.435415,-99.178578
3534616,Private room,Mexico City,33.0,19.346968,-99.173339
12853705,Private room,Ciudad de México,26.0,19.429827,-99.175837
13672668,Private room,Ciudad de México,57.0,19.426789,-99.177032
10069785,Private room,Ciudad de México,35.0,19.344123,-99.153511
8408609,Private room,Ciudad de México,16.0,19.379699,-99.140259
10009611,Private room,Ciudad de México,36.0,19.410274,-99.178133
6677471,Private room,Ciudad de México,21.0,19.413366,-99.180583
14387507,Private room,Ciudad de México,18.0,19.437943,-99.128736
7250,Private room,Mexico City,41.0,19.411125,-99.179035
13657534,Private room,Ciudad de México,40.0,19.423125,-99.136544
9901633,Private room,Ciudad de México,31.0,19.430094,-99.165187
2778452,Private room,Mexico City,23.0,19.430431,-99.160917
3783152,Private room,Mexico City,103.0,19.349359,-99.176488
12486258,Private room,Ejido del Centro,27.0,19.42773,-99.137699
13639672,Private room,Ciudad de México,15.0,19.447174,-99.213439
14470071,Private room,Ciudad de México,66.0,19.423682,-99.165908
8273481,Private room,Ejido del Centro,20.0,19.428851,-99.134832
8517435,Private room,Ciudad de México,20.0,19.426386,-99.174944
14095026,Private room,Ciudad de México,11.0,19.428368,-99.151846
12254969,Private room,Ciudad de México,27.0,19.433387,-99.16752
3193467,Private room,Coyoacán,20.0,19.356117,-99.152881
11137585,Private room,Ciudad de México,23.0,19.350348,-99.163142
14486922,Private room,Ciudad de México,27.0,19.437332,-99.131646
10753494,Private room,Ciudad de México,29.0,19.433678,-99.165037
2905087,Private room,Mexico City,29.0,19.42963,-99.173288
10015747,Private room,Ciudad de México,54.0,19.430006,-99.162011
10730243,Private room,Ejido del Centro,13.0,19.432919,-99.14849
10278640,Private room,Mexico City,46.0,19.430118,-99.161736
8721643,Private room,Ciudad de México,21.0,19.426331,-99.134084
13271804,Private room,Ciudad de México,16.0,19.431693,-99.15209
11362877,Private room,Ciudad de México,26.0,19.430213,-99.157081
8306119,Private room,Ciudad de México,31.0,19.427133,-99.136364
10528516,Private room,Ciudad de México,34.0,19.352989,-99.164483
12388523,Private room,Ciudad de México,36.0,19.427623,-99.137976
10310182,Private room,Ciudad de México,23.0,19.352609,-99.161833
12092782,Private room,Ciudad de México,16.0,19.430778,-99.146906
8507421,Private room,México,13.0,19.435301,-99.148776
6214515,Private room,México,87.0,19.412469,-99.175301
13989906,Private room,Ciudad de México,16.0,19.43253,-99.14598
11849623,Private room,Ciudad de México,28.0,19.434768,-99.132851
10464501,Private room,Ciudad de México,33.0,19.411281,-99.181964
10835500,Private room,Ciudad de México,52.0,19.417574,-99.177417
6311724,Private room,Ciudad de México,16.0,19.431517,-99.170428
2241823,Private room,Mexico City,46.0,19.416467,-99.177363
9791350,Private room,Ciudad de México,32.0,19.419187,-99.176954
12385710,Private room,Ciudad de México,52.0,19.425251,-99.175023
5386653,Private room,Ciudad de México,13.0,19.415246,-99.177227
5910426,Private room,Mexico City,34.0,19.41322,-99.178628
